generation,first_front_size,best_preference,min_cost,min_time,min_co2,avg_penalty,avg_nutrient_penalty,avg_diversity_penalty,avg_diversity,front_objectives,algorithm,user_id,diversity_label,archive_size,non_dominated_size,average_penalty,average_diversity,hypervolume
0,14.0,80.8,6.840000000000001,70.0,13.8,0.5873536226189002,0.5215876524779302,0.0657659701409701,8.55,"[[-44.04868320384615, 20.401316796153843, 362.1513167961538], [-63.080154414545454, 30.86984558545455, 420.3198455854546], [-73.2572252509857, 22.52277474901432, 520.2427747490143], [-54.616181730641244, 27.573818269358753, 470.38381826935876], [-38.149945176861415, 17.28005482313859, 380.05005482313857], [-33.42989565, 14.850104350000002, 250.17010435], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-27.9, 13.66, 350.1], [-52.86681361292251, 21.073186387077477, 350.1331863870775], [-56.165645190886764, 28.914354809113245, 424.43435480911324], [-55.19059560704545, 23.439404392954543, 507.30940439295455], [-45.731692369444445, 17.188307630555556, 465.0683076305556], [-8.903208117724093, 10.73679188227591, 73.8967918822759]]",nsga2,1,div_on,,,,,1958639.2508284415
1,20.0,80.8,6.840000000000001,35.0,11.3,0.5814764523710196,0.5143191652137324,0.0671572871572871,8.55,"[[-73.2572252509857, 22.52277474901432, 520.2427747490143], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-14.8006028, 11.8293972, 155.1993972], [-27.9, 13.66, 350.1], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-31.81091484549451, 19.229085154505494, 210.3890851545055], [-33.42989565, 14.850104350000002, 250.17010435], [-47.14235057059828, 19.23764942940171, 320.2576494294017], [-38.149945176861415, 17.28005482313859, 380.05005482313857], [-45.731692369444445, 17.188307630555556, 465.0683076305556], [-56.165645190886764, 28.914354809113245, 424.43435480911324], [-52.86681361292251, 21.073186387077477, 350.1331863870775], [-55.19059560704545, 23.439404392954543, 507.30940439295455], [-54.616181730641244, 27.573818269358753, 470.38381826935876], [-56.91843279444444, 21.071567205555553, 520.0815672055555], [-63.080154414545454, 30.86984558545455, 420.3198455854546], [-56.28332612172496, 32.556673878275035, 322.11667387827504]]",nsga2,1,div_on,,,,,2075733.8489403683
2,20.0,80.8,6.840000000000001,35.0,11.3,0.7847471299189901,0.7096037316505919,0.0751433982683982,7.8,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-73.2572252509857, 22.52277474901432, 520.2427747490143], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-75.30241142875066, 28.64758857124935, 507.39758857124934], [-31.81091484549451, 19.229085154505494, 210.3890851545055], [-45.51942725, 13.25057275, 290.28057275], [-14.8006028, 11.8293972, 155.1993972], [-56.28332612172496, 32.556673878275035, 322.11667387827504], [-33.42989565, 14.850104350000002, 250.17010435], [-63.33058751858554, 20.339412481414463, 375.3694124814145], [-18.53845765, 13.401542349999998, 245.26154235], [-52.86681361292251, 21.073186387077477, 350.1331863870775], [-51.19300611541667, 13.696993884583332, 312.2069938845833], [-15.1700947, 16.039905299999997, 205.2299053], [-73.2572252509857, 22.52277474901432, 520.2427747490143], [-80.61516627204546, 33.274833727954544, 405.1848337279545]]",nsga2,1,div_on,,,,,2190245.828698315
3,20.0,80.8,6.840000000000001,35.0,11.3,0.7748196159590126,0.6955898179792146,0.0792297979797979,7.3,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-73.2572252509857, 22.52277474901432, 520.2427747490143], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-16.005715249999998, 9.55428475, 255.39428475], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-38.0909759625, 18.5290240375, 223.1090240375], [-52.86681361292251, 21.073186387077477, 350.1331863870775], [-75.30241142875066, 28.64758857124935, 507.39758857124934], [-14.8006028, 11.8293972, 155.1993972], [-62.63405945983454, 30.135940540165464, 290.4659405401655], [-25.31666666666667, 13.313333333333334, 188.08333333333334], [-33.42989565, 14.850104350000002, 250.17010435], [-45.51942725, 13.25057275, 290.28057275], [-48.126317780448936, 24.983682219551056, 302.0736822195511], [-63.33058751858554, 20.339412481414463, 375.3694124814145], [-51.19300611541667, 13.696993884583332, 312.2069938845833], [-25.999999999999996, 12.389999999999999, 385.1], [-8.903208117724093, 10.73679188227591, 73.8967918822759]]",nsga2,1,div_on,,,,,2260896.3911166894
4,20.0,80.8,6.840000000000001,35.0,11.3,0.5882066336788433,0.5096018356990453,0.0786047979797979,7.25,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-16.005715249999998, 9.55428475, 255.39428475], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-59.2493564, 16.230643599999997, 560.1506436], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-14.8006028, 11.8293972, 155.1993972], [-38.0909759625, 18.5290240375, 223.1090240375], [-33.42989565, 14.850104350000002, 250.17010435], [-25.31666666666667, 13.313333333333334, 188.08333333333334], [-73.2572252509857, 22.52277474901432, 520.2427747490143], [-63.33058751858554, 20.339412481414463, 375.3694124814145], [-40.08582461666667, 17.35417538333333, 242.11417538333333], [-75.30241142875066, 28.64758857124935, 507.39758857124934], [-25.999999999999996, 12.389999999999999, 385.1], [-48.126317780448936, 24.983682219551056, 302.0736822195511], [-45.51942725, 13.25057275, 290.28057275], [-62.63405945983454, 30.135940540165464, 290.4659405401655], [-52.26010647500001, 23.229893525, 320.239893525]]",nsga2,1,div_on,,,,,2261086.7089518453
5,20.0,80.80000000000003,6.840000000000001,35.0,11.3,0.5872989280220121,0.512016640864725,0.0752822871572871,7.7,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-16.005715249999998, 9.55428475, 255.39428475], [-59.2493564, 16.230643599999997, 560.1506436], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-52.26010647500001, 23.229893525, 320.239893525], [-14.8006028, 11.8293972, 155.1993972], [-25.31666666666667, 13.313333333333334, 188.08333333333334], [-75.30241142875066, 28.64758857124935, 507.39758857124934], [-73.2572252509857, 22.52277474901432, 520.2427747490143], [-80.48842067633842, 30.9015793236616, 405.3115793236616], [-63.33058751858554, 20.339412481414463, 375.3694124814145], [-47.02857142857144, 20.231428571428573, 430.07142857142856], [-40.08582461666667, 17.35417538333333, 242.11417538333333], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-48.126317780448936, 24.983682219551056, 302.0736822195511], [-25.999999999999996, 12.389999999999999, 385.1], [-45.51942725, 13.25057275, 290.28057275]]",nsga2,1,div_on,,,,,2273693.8376432452
6,20.0,80.80000000000003,6.840000000000001,35.0,11.3,0.5907947016612635,0.5190838430754049,0.0717108585858585,8.05,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-36.12027666666667, 9.539723333333333, 540.1797233333333], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-40.08582461666667, 17.35417538333333, 242.11417538333333], [-52.26010647500001, 23.229893525, 320.239893525], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-23.871135405, 20.148864595, 183.328864595], [-59.2493564, 16.230643599999997, 560.1506436], [-80.48842067633842, 30.9015793236616, 405.3115793236616], [-63.33058751858554, 20.339412481414463, 375.3694124814145], [-25.999999999999996, 12.389999999999999, 385.1], [-73.2572252509857, 22.52277474901432, 520.2427747490143], [-25.31666666666667, 13.313333333333334, 188.08333333333334], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-48.126317780448936, 24.983682219551056, 302.0736822195511], [-14.8006028, 11.8293972, 155.1993972], [-75.30241142875066, 28.64758857124935, 507.39758857124934]]",nsga2,1,div_on,,,,,2254574.0505738333
7,20.0,80.80000000000003,6.840000000000001,35.0,11.3,0.5992309133997911,0.5285617214805991,0.0706691919191919,8.15,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-36.12027666666667, 9.539723333333333, 540.1797233333333], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-80.61516627204546, 33.274833727954544, 405.1848337279545], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-14.8006028, 11.8293972, 155.1993972], [-40.08582461666667, 17.35417538333333, 242.11417538333333], [-52.26010647500001, 23.229893525, 320.239893525], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-48.126317780448936, 24.983682219551056, 302.0736822195511], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-23.871135405, 20.148864595, 183.328864595], [-73.2572252509857, 22.52277474901432, 520.2427747490143], [-59.2493564, 16.230643599999997, 560.1506436], [-63.33058751858554, 20.339412481414463, 375.3694124814145], [-25.999999999999996, 12.389999999999999, 385.1], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-37.713060925, 14.036939074999998, 255.286939075], [-80.48842067633842, 30.9015793236616, 405.3115793236616]]",nsga2,1,div_on,,,,,2268389.866554745
8,20.0,80.80000000000003,6.840000000000001,35.0,11.3,0.6081555755151574,0.5369705105800925,0.0711850649350649,8.1,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-36.12027666666667, 9.539723333333333, 540.1797233333333], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-45.61283707965401, 38.20716292034599, 260.487162920346], [-14.8006028, 11.8293972, 155.1993972], [-23.871135405, 20.148864595, 183.328864595], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-52.26010647500001, 23.229893525, 320.239893525], [-25.999999999999996, 12.389999999999999, 385.1], [-40.08582461666667, 17.35417538333333, 242.11417538333333], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-43.00591210454546, 18.20408789545455, 442.29408789545454], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-53.30964385934067, 19.65035614065934, 480.09035614065937], [-59.2493564, 16.230643599999997, 560.1506436], [-80.48842067633842, 30.9015793236616, 405.3115793236616], [-48.126317780448936, 24.983682219551056, 302.0736822195511], [-68.4470800293289, 25.542919970671104, 485.2529199706711]]",nsga2,1,div_on,,,,,2223262.1101229023
9,20.0,80.80000000000003,6.840000000000001,35.0,11.3,0.8170140306932581,0.7437266930309203,0.0732873376623376,8.0,"[[-80.61516627204546, 33.274833727954544, 405.1848337279545], [-11.646074125840547, 16.053925874159454, 38.85392587415945], [-36.12027666666667, 9.539723333333333, 540.1797233333333], [-74.09238638411973, 26.477613615880266, 585.3076136158803], [-5.009276882874692, 12.840723117125306, 68.8907231171253], [-63.988595812083325, 41.361404187916655, 395.4114041879167], [-14.8006028, 11.8293972, 155.1993972], [-45.61283707965401, 38.20716292034599, 260.487162920346], [-23.871135405, 20.148864595, 183.328864595], [-36.10915368076923, 13.430846319230769, 368.3908463192308], [-68.4470800293289, 25.542919970671104, 485.2529199706711], [-25.999999999999996, 12.389999999999999, 385.1], [-56.307138120879124, 24.732861879120883, 520.1928618791209], [-8.903208117724093, 10.73679188227591, 73.8967918822759], [-40.08582461666667, 17.35417538333333, 242.11417538333333], [-38.41980029993589, 19.070199700064105, 192.3801997000641], [-77.63729293564677, 26.73270706435324, 430.36270706435323], [-59.2493564, 16.230643599999997, 560.1506436], [-63.45609308056133, 29.243906919438658, 273.34390691943867], [-80.48842067633842, 30.9015793236616, 405.3115793236616]]",nsga2,1,div_on,,,,,2233054.9736951953
