algorithm,user_id,diversity_label,solution_type,preference,cost,time,co2,diversity,penalty,constraint_compliance_count,energy_value,energy_RLL,energy_RUL,energy_status,protein_value,protein_RLL,protein_RUL,protein_status,carbohydrate_value,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_status,fiber_value,fiber_RLL,fiber_RUL,fiber_status,sodium_value,sodium_RLL,sodium_RUL,sodium_status
nsga2,1,div_on,best_preference,105.50000000000003,46.8,635.0,82.0,14,0.46458128366833984,1,2742.7444300000006,2000.0,2400.0,HIGH,114.00548479999999,40.0,100.0,HIGH,265.18785499999996,170.0,300.0,OK,15.828329600000002,20.0,9999.0,LOW,2570.6363200000005,1500.0,2300.0,HIGH
nsga2,1,div_on,lowest_penalty,54.79999999999999,27.680000000000003,290.0,47.4,11,0.053573288531468546,4,2022.1345999999999,2000.0,2400.0,OK,63.77015949999999,40.0,100.0,OK,303.518122,170.0,300.0,HIGH,21.2085166,20.0,9999.0,OK,1878.10532,1500.0,2300.0,OK
nsga2,1,div_on,balanced,74.30000000000001,31.34,560.0,60.7,12,0.12543576402146206,2,2411.9292000000005,2000.0,2400.0,HIGH,114.93093329999999,40.0,100.0,HIGH,245.440644,170.0,300.0,OK,17.611728,20.0,9999.0,LOW,1965.1921,1500.0,2300.0,OK
nsga2,1,div_off,best_preference,81.60000000000001,34.220000000000006,515.0,77.9,12,0.40469902276866465,1,2755.0692300000005,2000.0,2400.0,HIGH,111.56463529999999,40.0,100.0,HIGH,245.10732,170.0,300.0,OK,14.179944,20.0,9999.0,LOW,2513.7751000000003,1500.0,2300.0,HIGH
nsga2,1,div_off,lowest_penalty,35.400000000000006,12.39,392.0,20.299999999999997,6,0.0,5,2333.739,2000.0,2400.0,OK,51.696099999999994,40.0,100.0,OK,296.11669,170.0,300.0,OK,30.883050000000004,20.0,9999.0,OK,1501.0884,1500.0,2300.0,OK
nsga2,1,div_off,balanced,48.10000000000001,20.13,310.0,33.8,8,0.0,5,2057.252,2000.0,2400.0,OK,79.13866000000002,40.0,100.0,OK,278.12606,170.0,300.0,OK,22.214834,20.0,9999.0,OK,1661.4161000000004,1500.0,2300.0,OK
nsga2,97,div_on,best_preference,99.51209253000002,32.48,327.0,49.699999999999996,11,0.2407514589995282,2,2588.16452,1800.0,2400.0,HIGH,59.9373855,40.0,100.0,OK,343.799044,170.0,300.0,HIGH,18.0051035,20.0,9999.0,LOW,1812.0079899999998,1500.0,2300.0,OK
nsga2,97,div_on,lowest_penalty,85.73771253,36.67,312.0,58.3,10,0.05,5,2196.24052,1800.0,2400.0,OK,59.92820549999999,40.0,100.0,OK,298.597644,170.0,300.0,OK,34.7074735,20.0,9999.0,OK,1799.79699,1500.0,2300.0,OK
nsga2,97,div_on,balanced,85.73771253,36.67,312.0,58.3,10,0.05,5,2196.24052,1800.0,2400.0,OK,59.92820549999999,40.0,100.0,OK,298.597644,170.0,300.0,OK,34.7074735,20.0,9999.0,OK,1799.79699,1500.0,2300.0,OK
nsga2,97,div_off,best_preference,101.363996,38.510000000000005,482.0,52.8,13,0.1011731046153847,3,2457.78202,1800.0,2400.0,HIGH,50.87085,40.0,100.0,OK,331.322241,170.0,300.0,HIGH,38.5802,20.0,9999.0,OK,1919.52909,1500.0,2300.0,OK
nsga2,97,div_off,lowest_penalty,56.53410650000001,16.95,365.0,28.900000000000002,6,0.0,5,2226.5387,1800.0,2400.0,OK,64.70762,40.0,100.0,OK,263.74228999999997,170.0,300.0,OK,28.393880000000003,20.0,9999.0,OK,1523.3441400000002,1500.0,2300.0,OK
nsga2,97,div_off,balanced,101.363996,38.510000000000005,482.0,52.8,13,0.1011731046153847,3,2457.78202,1800.0,2400.0,HIGH,50.87085,40.0,100.0,OK,331.322241,170.0,300.0,HIGH,38.5802,20.0,9999.0,OK,1919.52909,1500.0,2300.0,OK
spea2,1,div_on,best_preference,96.20000000000002,34.580000000000005,470.0,90.49999999999999,14,0.41341837642685925,1,2758.1107300000003,2000.0,2400.0,HIGH,86.5592493,40.0,100.0,OK,343.5739,170.0,300.0,HIGH,12.904548000000002,20.0,9999.0,LOW,2321.5151,1500.0,2300.0,HIGH
spea2,1,div_on,lowest_penalty,69.3,23.28,345.0,48.900000000000006,11,0.045454545454545456,5,2398.8335,2000.0,2400.0,OK,91.936724,40.0,100.0,OK,185.57071000000002,170.0,300.0,OK,27.849429999999998,20.0,9999.0,OK,1573.0364,1500.0,2300.0,OK
spea2,1,div_on,balanced,69.3,23.28,345.0,48.900000000000006,11,0.045454545454545456,5,2398.8335,2000.0,2400.0,OK,91.936724,40.0,100.0,OK,185.57071000000002,170.0,300.0,OK,27.849429999999998,20.0,9999.0,OK,1573.0364,1500.0,2300.0,OK
